OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Amrod B.O,Branch Post Office,473330,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Ashoknagar S.O,Sub Post Office,473331,07543-222726,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Athaikheda B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Bagulya B.O,Branch Post Office,473330,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Barodia B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Berkhedi Tumen B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Bhesarwas B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Bilakhedi B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Chhapar B.O,Branch Post Office,473330,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Dangora Foot B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Depalkhedi B.O,Branch Post Office,473330,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Dhekan B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
