OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Hija B.O,Branch Post Office,791120,,ZIRO,LOWER SUBANSIRI,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Joram B.O,Branch Post Office,791120,,ZIRO,LOWER SUBANSIRI,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Mengio B.O,Branch Post Office,791119,,ZIRO,LOWER SUBANSIRI,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Old Ziro B.O,Branch Post Office,791120,,ZIRO,LOWER SUBANSIRI,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Raga B.O,Branch Post Office,791120,,ZIRO,LOWER SUBANSIRI,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Talo B.O,Branch Post Office,791120,,ZIRO,LOWER SUBANSIRI,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Yachuli B.O,Branch Post Office,791120,,ZIRO,LOWER SUBANSIRI,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Yazali B.O,Branch Post Office,791119,,ZIRO,LOWER SUBANSIRI,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Ziro S.O,Sub Post Office,791120,,ZIRO,LOWER SUBANSIRI,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Balijan B.O,Branch Post Office,791123,,BALIJAN,PAPUM PARE,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Banderdewa S.O,Sub Post Office,791123,,BANDERDEWA,PAPUM PARE,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Doimukh S.O,Sub Post Office,791112,,DIOMUKH,PAPUM PARE,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Kheel B.O,Branch Post Office,791112,,DOIMUKH,PAPUM PARE,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Midpu B.O,Branch Post Office,791112,,DOIMUKH,PAPUM PARE,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
A P Sectt. S.O,Sub Post Office,791111,,ITANAGAR,PAPUM PARE,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Donyi Polo B.O,Branch Post Office,791113,,ITANAGAR,PAPUM PARE,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Itanagar H.O,Head Post Office,791111,,ITANAGAR,PAPUM PARE,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
